Id;CalculationDate;Variable;Value
6370;2019-06-10;PredictionOfOrdersValue;70171904
6481;2019-06-11;TurnoverRealization;1.302236557
6548;2019-06-11;PredictionOfOrdersValue;70945120
6570;2019-06-12;TurnoverRealization;1.311548829
6637;2019-06-12;PredictionOfOrdersValue;71439472
6659;2019-06-13;TurnoverRealization;1.308841944
6726;2019-06-13;PredictionOfOrdersValue;71592424
6748;2019-06-14;TurnoverRealization;1.302912712
6815;2019-06-14;PredictionOfOrdersValue;71369520
6837;2019-06-15;TurnoverRealization;1.306484103
6904;2019-06-15;PredictionOfOrdersValue;71941632
6926;2019-06-16;TurnoverRealization;1.28089571
6993;2019-06-16;PredictionOfOrdersValue;71682888
7015;2019-06-17;TurnoverRealization;1.28998673
7082;2019-06-17;PredictionOfOrdersValue;72062176
7104;2019-06-18;TurnoverRealization;1.278765678
7171;2019-06-18;PredictionOfOrdersValue;70908248
7193;2019-06-19;TurnoverRealization;1.321489811
7260;2019-06-19;PredictionOfOrdersValue;73436960
7282;2019-06-20;TurnoverRealization;1.318810105
7349;2019-06-20;PredictionOfOrdersValue;73080920
7371;2019-06-21;TurnoverRealization;1.319585323
7438;2019-06-21;PredictionOfOrdersValue;73369960
7460;2019-06-22;TurnoverRealization;1.30849278
7527;2019-06-22;PredictionOfOrdersValue;73386728
7549;2019-06-23;TurnoverRealization;1.279967546
7616;2019-06-23;PredictionOfOrdersValue;72953568
7638;2019-06-24;TurnoverRealization;1.288560152
7705;2019-06-24;PredictionOfOrdersValue;73428928
7727;2019-06-25;TurnoverRealization;1.27799499
7794;2019-06-25;PredictionOfOrdersValue;73570032
7816;2019-06-26;TurnoverRealization;1.272195339
7883;2019-06-26;PredictionOfOrdersValue;73910512
7905;2019-06-27;TurnoverRealization;1.294269919
7972;2019-06-27;PredictionOfOrdersValue;74332032
7994;2019-06-28;TurnoverRealization;1.289368749
8061;2019-06-28;PredictionOfOrdersValue;74265600
8083;2019-06-29;TurnoverRealization;1.283726454
8150;2019-06-29;PredictionOfOrdersValue;74452344
8172;2019-06-30;TurnoverRealization;1.260952473
8239;2019-06-30;PredictionOfOrdersValue;74086800
8261;2019-07-01;TurnoverRealization;1.274772048
8328;2019-07-01;PredictionOfOrdersValue;74642160
8350;2019-07-02;TurnoverRealization;1.267336726
8417;2019-07-02;PredictionOfOrdersValue;73721424
8440;2019-07-03;TurnoverRealization;1.270158172
8506;2019-07-03;PredictionOfOrdersValue;73901344
8529;2019-07-04;TurnoverRealization;1.272481441
8595;2019-07-04;PredictionOfOrdersValue;74253728
8618;2019-07-05;TurnoverRealization;1.27060473
8684;2019-07-05;PredictionOfOrdersValue;74083888
8707;2019-07-06;TurnoverRealization;1.266376972
8773;2019-07-06;PredictionOfOrdersValue;74027440
8796;2019-07-07;TurnoverRealization;1.24694252
8862;2019-07-07;PredictionOfOrdersValue;73695312
8885;2019-07-08;TurnoverRealization;1.260301113
8951;2019-07-08;PredictionOfOrdersValue;74093328
8974;2019-07-09;TurnoverRealization;1.253238559
9040;2019-07-09;PredictionOfOrdersValue;73986080
9063;2019-07-10;TurnoverRealization;1.251291752
9129;2019-07-10;PredictionOfOrdersValue;74164040
9152;2019-07-11;TurnoverRealization;1.248753428
9218;2019-07-11;PredictionOfOrdersValue;74107936
9241;2019-07-12;TurnoverRealization;1.247126818
9307;2019-07-12;PredictionOfOrdersValue;74520896
9330;2019-07-13;TurnoverRealization;1.242949605
9396;2019-07-13;PredictionOfOrdersValue;74355560
9419;2019-07-14;TurnoverRealization;1.235238552
9485;2019-07-14;PredictionOfOrdersValue;74355024
9508;2019-07-15;TurnoverRealization;0.133645654
9574;2019-07-15;PredictionOfOrdersValue;43349248
